setting,n,coef_log_gdp,ci_low,ci_high
All complete cases,2476,0.022870814462974322,0.003835827271086119,0.041905801654862525
Drop top 1% finalWorth,2451,0.013569450820271153,-0.0045189098696106975,0.031657811510153004
