stat,finalWorth,log1p(finalWorth)
1%,1000.0,6.90875477931522
10%,1200.0,7.0909098220799835
25%,1500.0,7.313886831633462
5%,1100.0,7.00397413672268
50%,2300.0,7.741099090035366
75%,4200.0,8.343077871169383
90%,8000.0,8.987321812850125
95%,13319.99999999989,9.497075979478279
99%,41808.00000000036,10.64032780769677
count,2640.0,2640.0
max,211000.0,12.259618151783465
mean,4623.787878787879,7.9308806757114025
min,1000.0,6.90875477931522
std,9834.240939420335,0.820638278793916
