model,term,coef,se_hc3,t,p,ci_low,ci_high,n,r2
A: finalWorth ~ gdp_country_num (HC3),const,4237.583714360534,281.5369680434697,15.051606699501876,4.680548324655668e-49,3685.5113063947106,4789.656122326357,2476,0.0014129207104689456
A: finalWorth ~ gdp_country_num (HC3),gdp_country_num,3.9601625880512597e-11,2.11322989602244e-11,1.8739856915261088,0.061050172358476394,-1.837192097463982e-12,8.104044385848918e-11,2476,0.0014129207104689456
B: log_finalWorth ~ log_gdp (HC3),const,7.266857003243338,0.2835379201981644,25.629224472566275,1.1056413868324466e-128,6.710860881521756,7.82285312496492,2476,0.0020939146650184037
B: log_finalWorth ~ log_gdp (HC3),log_gdp,0.022870814462974322,0.009707155263376689,2.356077948939552,0.018546644089510903,0.003835827271086119,0.041905801654862525,2476,0.0020939146650184037
C: log_finalWorth ~ log_gdp + controls + C(category) (HC3),Intercept,6.3877219961633696,0.3501041566724043,18.24520467530587,1.2977752673739821e-68,5.701089105589669,7.07435488673707,1895,0.04839391477046229
C: log_finalWorth ~ log_gdp + controls + C(category) (HC3),C(category)[T.Fashion & Retail],0.15774702134866428,0.08616520005212001,1.8307509441543166,0.06729568410457362,-0.011242290120746623,0.3267363328180752,1895,0.04839391477046229
C: log_finalWorth ~ log_gdp + controls + C(category) (HC3),C(category)[T.Finance & Investments],0.11833566517161581,0.07750135671857188,1.5268850789454462,0.1269575348336265,-0.033661903474363625,0.2703332338175952,1895,0.04839391477046229
C: log_finalWorth ~ log_gdp + controls + C(category) (HC3),C(category)[T.Food & Beverage],0.07683186535203929,0.08928499737147279,0.8605238014666463,0.3896099203947986,-0.09827606942008124,0.25193980012415984,1895,0.04839391477046229
C: log_finalWorth ~ log_gdp + controls + C(category) (HC3),C(category)[T.Healthcare],-0.09661943608467687,0.081598390486732,-1.184085072123908,0.23652883359883445,-0.25665220821337914,0.0634133360440254,1895,0.04839391477046229
C: log_finalWorth ~ log_gdp + controls + C(category) (HC3),C(category)[T.Manufacturing],-0.09717724400812236,0.07783352845170922,-1.2485267717037225,0.21199341788333606,-0.2498262760341964,0.05547178801795169,1895,0.04839391477046229
C: log_finalWorth ~ log_gdp + controls + C(category) (HC3),C(category)[T.Real Estate],-0.08594995056246701,0.08011887364044012,-1.0727803157617488,0.2835071578637097,-0.24308105783098186,0.07118115670604783,1895,0.04839391477046229
C: log_finalWorth ~ log_gdp + controls + C(category) (HC3),C(category)[T.Technology],0.2076337648806914,0.08683333491647975,2.391175751575164,0.016892168559935136,0.03733409086783415,0.3779334388935487,1895,0.04839391477046229
C: log_finalWorth ~ log_gdp + controls + C(category) (HC3),log_gdp,0.03542267670435513,0.011781388865873288,3.006663909291941,0.0026762588882092856,0.012316726838364822,0.05852862657034544,1895,0.04839391477046229
C: log_finalWorth ~ log_gdp + controls + C(category) (HC3),age,0.009192148620154963,0.0015169824534871114,6.059495677767944,1.6450319782395772e-09,0.006217005288846035,0.01216729195146389,1895,0.04839391477046229
C: log_finalWorth ~ log_gdp + controls + C(category) (HC3),selfMade_bin,-0.1926782385380167,0.04484357132334084,-4.296674703910763,1.822218245716851e-05,-0.2806265545307483,-0.10472992254528506,1895,0.04839391477046229
C: log_finalWorth ~ log_gdp + controls + C(category) (HC3),gender_F,-0.040499132537807236,0.05910736203057392,-0.6851791578324646,0.49331520909823945,-0.15642194599704587,0.0754236809214314,1895,0.04839391477046229
